"name","overallRating","responseRate","responseTime","revBased","numProierties","url","location","pID"
"Village Green C5 a tastefully decorated 3 bedroom condo in town Blowing Rock.","4.4 / 5.0","n/a","n/a","316","59","https://www.flipkey.com/blowing-rock-condo-rentals/p849127/","Village Green C5 a tastefully decorated 3 bedroom condo in town Blowing Rock.            Blowing Rock, North Carolina","p849127"
"Beautiful Cape Cod Compound Walk to Beach - HA0403","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/harwich-vacation-rentals/p291634/","Beautiful Cape Cod Compound Walk to Beach - HA0403            Harwich, Massachusetts","p291634"
"Ocean Edge Upper Level Well Maintained with pool (fees apply) - ED0253","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p66318/","Ocean Edge Upper Level Well Maintained with pool (fees apply) - ED0253            Brewster, Massachusetts","p66318"
"MARSH VIEW CONDO IN THE LEWIS COLLINS HOUSE","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/wellfleet-condo-rentals/p294950/","MARSH VIEW CONDO IN THE LEWIS COLLINS HOUSE            Wellfleet, Massachusetts","p294950"
"Bay Views and Short Walk to Grandfather's Beach, - BR0610","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p1818136/","Bay Views and Short Walk to Grandfather's Beach, - BR0610            Brewster, Massachusetts","p1818136"
"Renovated with All New Furniture, 2 Kings, 4 A/C's & Pool (fees apply) - HO0653","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p2517607/","Renovated with All New Furniture, 2 Kings, 4 A/C's & Pool (fees apply) - HO0653            Brewster, Massachusetts","p2517607"
"Playa Rana Unit #308","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p2572/","Playa Rana Unit #308            Virginia Beach, Virginia","p2572"
"Ocean Edge: Upper Level with 2 A/Cs sleeps 6 - EA0656","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p2550748/","Ocean Edge: Upper Level with 2 A/Cs sleeps 6 - EA0656            Brewster, Massachusetts","p2550748"
"PET-FRIENDLY COTTAGE STYLE HOME- CLOSE TO SWIMMING POND","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/harwich-vacation-rentals/p866204/","PET-FRIENDLY COTTAGE STYLE HOME- CLOSE TO SWIMMING POND            Harwich, Massachusetts","p866204"
"Ocean Edge - Straight Staircase,  A/C & Pool Passes (fees apply) - BI0579","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1075147/","Ocean Edge - Straight Staircase,  A/C & Pool Passes (fees apply) - BI0579            Brewster, Massachusetts","p1075147"
"Close to Bayside Beach, Central AC, Beach, Pool & Tennis!! - BP0098","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p1580/","Close to Bayside Beach, Central AC, Beach, Pool & Tennis!! - BP0098            Brewster, Massachusetts","p1580"
"SUPERB CHATHAM LOCATION IN RETREAT STYLE SETTING!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/south-chatham-vacation-rentals/p614458/","SUPERB CHATHAM LOCATION IN RETREAT STYLE SETTING!            South Chatham, Massachusetts","p614458"
"114 52nd Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-cottage-rentals/p961042/","114 52nd Street            Virginia Beach, Virginia","p961042"
"405 27th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p540595/","405 27th Street            Virginia Beach, Virginia","p540595"
"IN THE DUNES! 3 BEDROOM EASTHAM COTTAGE JUST STEPS FROM THE BAY!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-cottage-rentals/p294940/","IN THE DUNES! 3 BEDROOM EASTHAM COTTAGE JUST STEPS FROM THE BAY!            Eastham, Massachusetts","p294940"
"119 53RD Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p572708/","119 53RD Street            Virginia Beach, Virginia","p572708"
"Ocean Edge Townhouse (sleeps 6) with WiFi, 3 A/Cs & Pool Access - BI0502","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p473862/","Ocean Edge Townhouse (sleeps 6) with WiFi, 3 A/Cs & Pool Access - BI0502            Brewster, Massachusetts","p473862"
"GORGEOUS VIEWS OF CAPE COD BAY FROM THIS 5 BEDROOM 2 BATH BREWSTER HOME!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p1065/","GORGEOUS VIEWS OF CAPE COD BAY FROM THIS 5 BEDROOM 2 BATH BREWSTER HOME!            Brewster, Massachusetts","p1065"
"4 BEDROOM/3 BATH PONDFRONT BEAUTY!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/harwich-vacation-rentals/p2507884/","4 BEDROOM/3 BATH PONDFRONT BEAUTY!            Harwich, Massachusetts","p2507884"
"IN BEAUTIFUL OCEAN EDGE RESORT IN BREWSTER, LOCATED WITHIN TREVOR VILLAGE!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-condo-rentals/p747327/","IN BEAUTIFUL OCEAN EDGE RESORT IN BREWSTER, LOCATED WITHIN TREVOR VILLAGE!            Brewster, Massachusetts","p747327"
"NE78 110A - Serenity Now","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-cottage-rentals/p2010843/","NE78 110A - Serenity Now            Virginia Beach, Virginia","p2010843"
"Short Drive to Seagull & Sea view Beaches - YA0144","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/yarmouth-vacation-rentals/p1489/","Short Drive to Seagull & Sea view Beaches - YA0144            Yarmouth, Massachusetts","p1489"
"EASTHAM, NICE CONTEMPORARY CAPE NEAR SALT POND & NAUSET BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-vacation-rentals/p741585/","EASTHAM, NICE CONTEMPORARY CAPE NEAR SALT POND & NAUSET BEACH!            Eastham, Massachusetts","p741585"
"3 BEDROOM, 3 BATH HOME IS LOCATED NEAR MULTIPLE EASTHAM BEACHES!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-vacation-rentals/p111273/","3 BEDROOM, 3 BATH HOME IS LOCATED NEAR MULTIPLE EASTHAM BEACHES!            Eastham, Massachusetts","p111273"
"Ocean Edge with Central A/C & Pool (fees apply) - AL0163","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1605/","Ocean Edge with Central A/C & Pool (fees apply) - AL0163            Brewster, Massachusetts","p1605"
"BAYSIDE Ocean Edge with Central A/C, Beach, Pool & Tennis - BP0525","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p553733/","BAYSIDE Ocean Edge with Central A/C, Beach, Pool & Tennis - BP0525            Brewster, Massachusetts","p553733"
"**********","3.0 / 5.0","n/a","n/a","3","14","https://www.flipkey.com/kissimmee-condo-rentals/p353645/","**********            Kissimmee, Florida","p353645"
"CLOSE TO ONE OF THE MOST POPULAR BEACHES IN EASTHAM!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-cottage-rentals/p1138246/","CLOSE TO ONE OF THE MOST POPULAR BEACHES IN EASTHAM!            Eastham, Massachusetts","p1138246"
"Ocean Edge Townhouse with King, A/C & Pool (fees apply) - BI0085","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1596/","Ocean Edge Townhouse with King, A/C & Pool (fees apply) - BI0085            Brewster, Massachusetts","p1596"
"FIRST FLOOR CONDO FACING CHATHAM'S LIGHTHOUSE BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-condo-rentals/p1047/","FIRST FLOOR CONDO FACING CHATHAM'S LIGHTHOUSE BEACH!            Chatham, Massachusetts","p1047"
"PET-FRIENDLY 3 BEDROOM 2 BATH CLOSE TO HARDINGS BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-cottage-rentals/p734875/","PET-FRIENDLY 3 BEDROOM 2 BATH CLOSE TO HARDINGS BEACH!            Chatham, Massachusetts","p734875"
"EW120","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p722253/","EW120            Wells, Maine","p722253"
"Ocean Edge Street Level with updated kitchen, pool passes (fees apply) - CH0424","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p298669/","Ocean Edge Street Level with updated kitchen, pool passes (fees apply) - CH0424            Brewster, Massachusetts","p298669"
"7709A Atlantic Ave","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540564/","7709A Atlantic Ave            Virginia Beach, Virginia","p540564"
"Affordable only 1/2 mile to Sheep Pond, 3 A/C's, sleeping 6 - BR0650","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p2477362/","Affordable only 1/2 mile to Sheep Pond, 3 A/C's, sleeping 6 - BR0650            Brewster, Massachusetts","p2477362"
"108 A 75th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p2556/","108 A 75th Street            Virginia Beach, Virginia","p2556"
"Bayside: 2 NEW King Beds, 4 A/C's, WiFi, dishwasher, washer/dryer - YA0555","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/yarmouth-vacation-rentals/p715913/","Bayside: 2 NEW King Beds, 4 A/C's, WiFi, dishwasher, washer/dryer - YA0555            Yarmouth, Massachusetts","p715913"
"DOG FRIENDLY lovely home with Central A/C - HA0196","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/harwich-vacation-rentals/p1516/","DOG FRIENDLY lovely home with Central A/C - HA0196            Harwich, Massachusetts","p1516"
"Chetola Pine #3 is a classical 2 bedroom condo in Chetola Resort","4.4 / 5.0","n/a","n/a","316","59","https://www.flipkey.com/blowing-rock-condo-rentals/p2391006/","Chetola Pine #3 is a classical 2 bedroom condo in Chetola Resort            Blowing Rock, North Carolina","p2391006"
"Ocean Edge- Sleeping 6,  3 ACs, WIFI & 6 Pool Passes (Fees Apply) - - BI0625","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1882181/","Ocean Edge- Sleeping 6,  3 ACs, WIFI & 6 Pool Passes (Fees Apply) - - BI0625            Brewster, Massachusetts","p1882181"
"RENT A BEAUTIFUL HOME CLOSE TO THE WATER ON A NIGHTLY BASIS!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/west-yarmouth-vacation-rentals/p1672560/","RENT A BEAUTIFUL HOME CLOSE TO THE WATER ON A NIGHTLY BASIS!            West Yarmouth, Massachusetts","p1672560"
"LOVELY CAPE COD VACATION BUNGALOW LOCATED IN ROCK HARBOR AREA OF ORLEANS","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-cabin-rentals/p1066/","LOVELY CAPE COD VACATION BUNGALOW LOCATED IN ROCK HARBOR AREA OF ORLEANS            Orleans, Massachusetts","p1066"
"Village Green C1is a great condo located on Main Street, Blowing Rock","4.4 / 5.0","n/a","n/a","316","59","https://www.flipkey.com/blowing-rock-condo-rentals/p1946504/","Village Green C1is a great condo located on Main Street, Blowing Rock            Blowing Rock, North Carolina","p1946504"
"108A 87th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-cottage-rentals/p276494/","108A 87th Street            Virginia Beach, Virginia","p276494"
"Lake Front Vacation Home on Lovers Lake in Chatham, sleeps 10! Central Air!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-vacation-rentals/p381248/","Lake Front Vacation Home on Lovers Lake in Chatham, sleeps 10! Central Air!            Chatham, Massachusetts","p381248"
"Above it All postcard views and just minutes from the Blue Ridge Parkway","4.4 / 5.0","n/a","n/a","316","59","https://www.flipkey.com/blowing-rock-vacation-rentals/p632074/","Above it All postcard views and just minutes from the Blue Ridge Parkway            Blowing Rock, North Carolina","p632074"
"105 57th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p540559/","105 57th Street            Virginia Beach, Virginia","p540559"
"624 South Atlantic Ave","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p540540/","624 South Atlantic Ave            Virginia Beach, Virginia","p540540"
"Upper Level Apt. w/Murphy Bed, A/C & Pool (fees apply) - FL0029","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1526/","Upper Level Apt. w/Murphy Bed, A/C & Pool (fees apply) - FL0029            Brewster, Massachusetts","p1526"
"Ocean Edge Close to Arbor Pool - Sleeps 8 with A/C - EN0008","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1534/","Ocean Edge Close to Arbor Pool - Sleeps 8 with A/C - EN0008            Brewster, Massachusetts","p1534"
"60 Billington - Pelka","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1595/","60 Billington - Pelka            Brewster, Massachusetts","p1595"
"Ocean Edge - sleeps 6 - 3 A/C's & 6 pool passes (extra fees apply) - BI0242","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p56271/","Ocean Edge - sleeps 6 - 3 A/C's & 6 pool passes (extra fees apply) - BI0242            Brewster, Massachusetts","p56271"
"Ocean Edge Townhouse (sleeps 6) with King Bed  & Straight Staircase - BI0548","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p729249/","Ocean Edge Townhouse (sleeps 6) with King Bed  & Straight Staircase - BI0548            Brewster, Massachusetts","p729249"
"PANORAMIC VIEWS OF THE BAY ON THE OUTER CAPE!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-vacation-rentals/p1833124/","PANORAMIC VIEWS OF THE BAY ON THE OUTER CAPE!            Eastham, Massachusetts","p1833124"
"SPACIOUS ROOMS AND VIEWS OF SEYMOUR POND IN THIS HARWICH VACATION HOME!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/harwich-vacation-rentals/p51861/","SPACIOUS ROOMS AND VIEWS OF SEYMOUR POND IN THIS HARWICH VACATION HOME!            Harwich, Massachusetts","p51861"
"341 25th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540498/","341 25th Street            Virginia Beach, Virginia","p540498"
"Playa Rana unit #204","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540508/","Playa Rana unit #204            Virginia Beach, Virginia","p540508"
"1736 Baltic Avenue","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540503/","1736 Baltic Avenue            Virginia Beach, Virginia","p540503"
"NE77 118","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540592/","NE77 118            Virginia Beach, Virginia","p540592"
"CONDO IN CHATHAM! COCKLE COVE BEACH IS JUST 0.9 MILES AWAY!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-condo-rentals/p993/","CONDO IN CHATHAM! COCKLE COVE BEACH IS JUST 0.9 MILES AWAY!            Chatham, Massachusetts","p993"
"Across from Glendon Beach affordable 2 Bedroom - DE0514","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/dennis-vacation-rentals/p520452/","Across from Glendon Beach affordable 2 Bedroom - DE0514            Dennis, Massachusetts","p520452"
"Playa Rana #214","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540516/","Playa Rana #214            Virginia Beach, Virginia","p540516"
"Ocean Edge Townhouse (sleeps 6) with A/C & WiFi - BI0503","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p473861/","Ocean Edge Townhouse (sleeps 6) with A/C & WiFi - BI0503            Brewster, Massachusetts","p473861"
"THIS SWEET COTTAGE SLEEPS 4 GUESTS IN A PEACEFUL SETTING NEAR CAPE COD BAY!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-cottage-rentals/p513078/","THIS SWEET COTTAGE SLEEPS 4 GUESTS IN A PEACEFUL SETTING NEAR CAPE COD BAY!            Eastham, Massachusetts","p513078"
"Ocean Edge - KING bed, 3 A/C's, hardwood floors & Pool (fees apply) - HO0004","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1515/","Ocean Edge - KING bed, 3 A/C's, hardwood floors & Pool (fees apply) - HO0004            Brewster, Massachusetts","p1515"
"PICTURE PERFECT CAPE ON TOWN COVE EASTHAM!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-vacation-rentals/p1090698/","PICTURE PERFECT CAPE ON TOWN COVE EASTHAM!            Eastham, Massachusetts","p1090698"
"307 Lake Station","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p2444/","307 Lake Station            Virginia Beach, Virginia","p2444"
"SKAKET BEACH LOCATION IN ORLEANS SLEEPS 8 HAS A/C AND IS PET FRIENDLY","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-cottage-rentals/p734874/","SKAKET BEACH LOCATION IN ORLEANS SLEEPS 8 HAS A/C AND IS PET FRIENDLY            Orleans, Massachusetts","p734874"
"Beach, Pool & Central A/C - 3 Bedroom at Ocean Edge - BP0418","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p294964/","Beach, Pool & Central A/C - 3 Bedroom at Ocean Edge - BP0418            Brewster, Massachusetts","p294964"
"Ocean Edge - Upper Level End Unit - EA0141","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1538/","Ocean Edge - Upper Level End Unit - EA0141            Brewster, Massachusetts","p1538"
"SPACIOUS 4 BEDROOM HOME IN BREWSTER'S ROBINWOOD NEIGHBORHOOD","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p998/","SPACIOUS 4 BEDROOM HOME IN BREWSTER'S ROBINWOOD NEIGHBORHOOD            Brewster, Massachusetts","p998"
"Golf Access,  Renovated, King Bed, 4 A/C's & Pool (Fees Apply) - EN0615","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1882194/","Golf Access,  Renovated, King Bed, 4 A/C's & Pool (Fees Apply) - EN0615            Brewster, Massachusetts","p1882194"
"Mai Kai 12B","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540524/","Mai Kai 12B            Virginia Beach, Virginia","p540524"
